employee_id,gender,height,waist,salary,dob,death
0173840,f,1.70,1.89,39084.00,1975-06-28,1994-08-11
4979940,m,1.86,1.97,78377.00,1961-05-13,1992-10-26
1575181,m,1.74,1.04,74700.00,1981-08-15,2009-09-30
1012753,f,1.49,0.91,57510.00,1946-11-26,1973-04-20
7458797,f,1.53,0.91,39933.00,1954-05-28,1985-06-29
7089775,m,1.77,1.39,82671.00,1970-03-09,2006-04-11
4707399,m,1.87,1.40,87008.00,1961-05-26,1992-05-14
0759683,f,1.69,0.86,69403.00,1970-12-05,1999-08-31
4968914,f,1.59,1.25,67323.00,1978-07-04,2005-02-03
0652472,f,1.71,1.08,64492.00,1954-11-07,1975-10-21
9585797,f,1.63,0.72,57953.00,1982-02-14,2014-03-13
6368211,f,1.60,1.30,63596.00,1976-02-18,1999-03-31
3182892,f,1.53,1.05,64083.00,1970-08-18,1998-12-10
5728509,m,1.83,1.00,63066.00,1975-05-25,2003-03-19
3584859,f,1.60,1.26,62913.00,1945-10-20,1966-11-15
1092253,m,1.84,1.40,64021.00,1963-08-04,1990-08-29
4593006,m,1.73,1.28,75617.00,1979-10-18,2014-10-10
1763345,f,1.70,1.23,36169.00,1959-06-04,1986-04-20
1566735,f,1.82,1.22,54452.00,1983-06-08,2012-01-10
3145436,m,1.71,1.31,58540.00,1960-09-04,1983-12-20
7208685,f,1.56,1.43,51561.00,1954-12-23,1974-12-26
4308365,f,1.68,1.10,39086.00,1948-02-20,1976-07-21
6712524,female,1.65,1.02,53488.00,1946-02-23,1970-02-19
4329271,m,1.81,1.36,56687.00,1982-06-11,2010-05-10
2225670,m,1.95,1.41,101783.00,1965-10-19,1999-09-28
1310792,f,1.58,1.30,55403.00,1983-01-08,1999-09-03
7531449,f,1.78,1.27,34237.00,1946-06-28,1972-12-07
2723572,f,1.51,1.13,50520.00,1975-11-21,2000-09-02
6956105,m,1.78,1.27,75176.00,1983-09-10,2015-01-21
9061552,f,1.64,1.27,43649.00,1959-09-20,1984-12-22
0708887,f,1.65,1.06,87720.00,1966-07-12,2001-03-09
3566147,f,1.62,1.15,33917.00,1959-04-23,1985-10-26
0497848,f,1.51,0.75,33297.00,1971-12-06,1996-10-22
4049362,f,1.61,1.11,63107.00,1964-01-20,1985-09-08
1109820,m,1.80,1.36,76809.00,1945-06-23,1976-06-01
5950540,m,1.71,1.12,59820.00,1950-04-26,1979-05-02
8566388,f,1.59,1.50,96634.00,1954-04-03,1985-06-08
9931120,f,1.61,0.92,86983.00,1949-11-21,1984-12-09
1553542,m,1.84,1.12,75577.00,1970-07-05,2008-12-20
6988249,m,1.83,1.39,51406.00,1958-01-17,1988-09-26
4435097,m,1.67,0.82,113970.00,1978-12-31,2017-09-16
9528236,f,1.62,1.02,32680.00,1977-03-21,1999-04-02
9532205,m,1.81,1.45,68337.00,1951-08-26,1972-03-23
7581916,f,1.63,0.83,41229.00,1978-01-13,2007-12-01
3571749,m,1.76,1.01,65885.00,1983-12-13,2009-06-06
7684277,f,1.67,1.08,75425.00,1953-08-14,1987-03-31
9785160,f,1.60,1.24,55473.00,1949-07-11,1972-01-28
1687414,m,1.71,1.57,55902.00,1953-04-02,1975-11-25
4731787,m,1.82,0.99,44384.00,1948-12-08,1978-12-28
7439502,m,1.78,1.22,69070.00,1982-10-18,2004-08-07
6814764,m,1.71,1.41,48281.00,1951-01-21,1969-06-28
1799940,m,1.74,1.15,42000.00,1967-07-28,1987-04-29
0412297,f,1.53,1.09,101220.00,1951-11-07,1990-05-02
2282711,m,1.83,1.34,70072.00,1961-02-20,1982-02-06
8991879,m,1.84,2.18,47704.00,1972-12-22,1993-11-07
5990141,m,1.78,0.82,25124.00,1958-07-07,1995-04-07
6716038,m,1.71,1.13,54861.00,1966-07-19,1990-07-14
0921641,f,1.69,1.55,41655.00,1968-11-12,1991-07-24
7852089,,1.59,0.97,46636.00,1959-12-06,1988-06-10
7722802,m,1.87,1.08,65967.00,1956-10-10,1981-02-26
5734135,f,1.65,1.10,92157.00,1976-11-16,2012-06-13
1879647,f,1.77,1.48,46361.00,1954-07-22,1974-06-05
9744818,m,1.83,0.99,40313.00,1952-06-04,1983-05-17
9876611,m,1.83,1.52,73666.00,1953-09-26,1974-07-11
3133176,m,1.84,1.65,79024.00,1962-07-20,1997-10-03
0190234,f,1.72,1.39,54949.00,1982-11-05,1999-11-12
2412344,f,1.79,1.33,60359.00,1962-01-08,1984-05-24
5874555,f,1.69,1.40,74021.00,1967-06-06,1986-11-03
2853892,m,1.78,0.91,80425.00,1968-04-08,2008-12-02
4344868,f,1.73,1.28,112199.00,1969-10-28,1996-07-02
6946572,m,1.74,1.42,50520.00,1966-04-12,1982-10-06
8528067,f,1.68,1.16,40708.00,1971-07-18,1993-12-04
1669851,f,1.59,1.32,45809.00,1984-05-17,2003-03-30
4656513,f,1.61,1.35,78319.00,1973-07-27,2005-12-12
2912473,f,1.64,1.23,31587.00,1958-09-23,1979-01-01
4206647,,1.70,1.20,55984.00,1957-06-04,1982-01-19
8899285,F,1.68,0.89,30586.00,1956-09-22,1985-02-07
5592296,f,1.80,1.15,42267.00,1949-10-20,1973-04-02
2387342,f,1.57,1.01,89250.00,1959-11-23,1992-03-27
4275728,f,1.78,1.15,41276.00,1972-06-28,1997-02-05
6237772,f,1.64,1.15,63867.00,1946-10-15,1969-12-11
5246306,f,1.71,1.14,61500.00,1967-11-04,1991-08-28
5443530,f,1.70,1.54,69291.00,1947-05-16,1961-01-13
9610630,f,1.59,1.51,54407.00,1961-01-23,1982-06-04
3456198,f,1.69,0.88,23777.00,1958-09-13,1983-05-02
0546876,m,1.88,1.21,14510.00,1953-12-15,1976-08-21
2626265,f,1.54,1.03,37049.00,1967-09-04,1996-02-05
1777204,f,1.57,1.00,60887.00,1973-05-11,1993-05-28
4359110,f,1.59,1.10,74613.00,1964-02-17,1987-09-04
9721125,f,1.55,0.88,28424.00,1969-01-07,1999-02-08
2300101,f,1.73,1.41,79980.00,1960-08-14,1989-03-02
9564288,m,1.79,1.04,100111.00,1963-10-10,2000-12-29
3617093,m,1.80,1.07,63823.00,1952-07-01,1980-10-03
0575683,m,1.60,0.88,85217.00,1945-09-24,1987-02-24
2179302,m,1.91,0.92,65056.00,1967-09-25,2001-08-20
5965676,m,1.65,1.21,57992.00,1958-05-31,1977-03-11
7856619,m,1.82,1.21,62002.00,1964-03-29,1990-07-23
4640216,f,1.55,1.10,87451.00,1983-01-18,2017-12-20
7819103,,1.73,1.38,65742.00,1967-05-29,1988-09-25
3324698,m,1.70,1.36,49716.00,1964-09-16,1981-11-28
5766693,m,1.74,1.27,46957.00,1973-06-15,1992-02-11
3866893,m,1.79,1.32,67892.00,1966-11-19,1982-08-01
0768584,f,1.62,0.84,31377.00,1945-08-30,1975-08-30
5415897,m,1.70,1.20,72457.00,1955-11-02,1980-06-16
7345105,m,1.76,1.37,41991.00,1971-02-03,1993-12-11
0490705,m,1.82,1.36,66411.00,1974-06-30,1993-03-18
7151689,f,1.67,1.57,14810.00,1984-10-17,2005-06-11
3824798,f,1.54,1.19,45952.00,1949-02-18,1969-03-20
1735731,m,1.76,1.26,33968.00,1974-01-25,1998-07-17
9787166,f,1.62,1.13,67023.00,1976-12-02,2001-08-24
8634791,m,1.74,0.97,69386.00,1961-08-21,1986-03-06
1734191,m,1.94,1.43,33838.00,1965-10-21,1989-04-04
8200010,m,1.66,0.93,61905.00,1959-01-18,1987-09-15
2296267,f,1.59,1.87,69824.00,1954-01-07,1971-06-04
7808748,m,1.79,1.23,40237.00,1971-02-18,1998-01-16
1175752,f,1.64,1.14,92423.00,1955-12-03,1989-12-24
2172449,f,1.66,1.13,27753.00,1954-04-13,1979-01-24
3386117,m,1.73,1.24,81137.00,1947-10-08,1975-07-25
0701163,m,1.77,0.87,49261.00,1978-10-16,2006-01-31
5105731,m,1.77,1.25,72717.00,1966-02-28,1986-02-26
8446660,m,1.76,1.34,55497.00,1975-12-04,1998-06-08
9288704,f,1.78,0.98,49163.00,1963-10-21,1994-03-16
7329518,f,1.67,0.98,49106.00,1955-12-20,1984-02-04
9269032,m,1.69,1.06,64255.00,1968-11-29,1989-01-10
4936401,m,1.76,1.51,43907.00,1978-01-03,1998-02-02
2746742,m,1.64,1.47,44475.00,1967-08-28,1986-05-03
0171207,m,1.88,1.52,62389.00,1958-11-26,1975-10-29
1017107,f,1.62,1.04,47210.00,1948-11-27,1969-11-09
3903715,f,1.67,1.18,22555.00,1974-05-16,1996-04-25
5488544,f,1.62,1.19,67558.00,1966-10-07,1993-04-18
6697320,m,1.81,1.27,62668.00,1971-04-30,1999-12-09
9854928,f,1.68,1.21,57737.00,1972-02-20,1995-01-21
9562588,m,1.74,1.17,90050.00,1963-12-01,1996-07-20
4112214,f,1.56,1.25,79748.00,1946-01-12,1975-09-01
3718582,m,1.94,0.98,70126.00,1947-12-30,1974-08-06
2433997,f,1.60,0.90,107606.00,1968-10-06,2004-11-02
2597284,f,1.48,1.24,53040.00,1981-10-22,2004-02-28
7374500,f,1.68,1.18,49201.00,1955-01-15,1974-10-07
4129214,m,1.83,1.37,23479.00,1945-12-02,1965-02-12
0582648,m,1.89,1.28,30176.00,1973-08-15,2004-04-15
7759341,m,1.80,1.37,53840.00,1954-05-15,1976-09-06
9537713,m,1.83,1.45,48084.00,1966-02-02,1988-05-26
6428027,m,1.74,1.42,70371.00,1955-06-12,1976-05-15
9569802,m,1.86,1.14,45412.00,1961-06-28,1989-03-09
3520676,f,1.62,1.10,72086.00,1950-05-02,1969-07-31
3213539,f,1.55,0.90,81727.00,1982-11-19,2019-08-02
8185754,f,1.58,1.27,52330.00,1982-10-10,2004-04-18
1442034,m,1.71,1.07,33542.00,1960-07-06,1990-09-29
4914156,m,1.71,0.97,63303.00,1949-02-13,1971-09-29
4622501,f,1.67,0.98,96016.00,1975-02-28,2008-06-25
1492280,f,1.65,1.32,60626.00,1952-01-12,1974-05-23
8912657,m,1.79,0.93,11709.00,1949-01-02,1974-11-02
9815435,f,1.66,1.21,76322.00,1964-08-23,2001-05-19
9160146,m,1.81,1.63,96110.00,1959-06-17,1989-12-11
1541827,m,1.88,1.17,72660.00,1983-11-10,2012-02-05
8618479,m,1.86,1.11,48644.00,1947-07-04,1973-11-11
4389094,f,1.82,1.36,36285.00,1978-08-20,2004-07-21
2805735,m,1.92,1.32,51421.00,1952-07-07,1978-05-05
5387851,m,1.83,1.34,64776.00,1972-05-24,1998-03-07
0072370,f,1.66,1.07,60717.00,1970-08-28,1993-07-02
7897972,f,1.62,1.31,69648.00,1982-04-05,2005-10-01
7567596,f,1.69,1.20,25469.00,1967-02-12,1988-05-31
7889011,female,1.72,1.61,60455.00,1965-10-31,1987-05-14
0990320,f,1.65,1.22,,1981-06-13,2005-09-02
0290702,f,1.53,1.65,57686.00,1950-04-23,1967-03-25
2905564,f,1.74,1.19,84460.00,1973-02-17,2004-02-01
1727288,m,1.84,1.35,80550.00,1946-11-23,1982-10-20
2194168,f,1.70,1.00,74812.00,1946-07-01,1971-07-27
7446538,f,1.65,1.12,68190.00,1980-03-12,2007-02-15
8585311,m,1.90,1.22,80436.00,1966-08-10,2004-10-24
0255441,m,1.84,1.15,82534.00,1963-10-30,1993-06-10
8452864,f,1.69,1.42,54437.00,1977-08-21,1999-09-21
7928261,m,1.84,1.45,92634.00,1968-02-18,1995-09-18
4467100,f,1.79,1.20,43199.00,1961-07-14,1986-04-21
9559239,f,1.63,1.13,80818.00,1974-06-13,2011-11-19
2717287,m,1.71,1.09,69467.00,1974-08-02,1993-01-26
5565265,m,1.78,1.31,58227.00,1975-10-08,1998-02-02
0465350,f,1.67,1.06,61631.00,1980-10-24,2007-02-14
9444642,m,1.91,1.37,90055.00,1966-11-16,2003-01-13
5061401,f,1.72,1.48,84061.00,1970-09-08,2003-09-07
6458473,f,1.56,0.96,38138.00,1959-01-28,1986-01-19
3922252,m,1.84,1.59,105060.00,1977-07-16,2007-10-03
0582432,m,1.92,1.56,74065.00,1951-02-21,1978-05-23
8448511,m,1.81,1.22,61701.00,1965-04-24,1985-06-29
9776520,f,1.54,0.92,79620.00,1975-06-13,2011-02-27
8387067,m,1.70,1.00,35354.00,1961-07-24,1992-07-12
0436535,m,1.82,1.46,59354.00,1984-03-21,2006-04-23
6681145,f,1.66,0.92,71387.00,1976-11-25,2007-09-23
4314461,f,1.58,1.12,58079.00,1982-06-16,2005-03-16
3811526,m,1.81,1.62,38637.00,1951-10-05,1971-04-28
7291493,f,1.78,1.24,56714.00,1966-08-04,1993-11-24
4305609,m,1.75,1.17,25620.00,1950-08-23,1975-02-18
1465305,m,1.86,1.69,53102.00,1976-09-20,1992-08-18
8893594,m,1.88,1.22,53671.00,1968-09-03,1992-01-28
9280646,f,1.57,0.94,24294.00,1964-08-07,1991-11-03
3922594,m,2.00,1.42,64079.00,1945-09-05,1968-02-24
0319762,m,1.76,1.13,81545.00,1976-10-11,2012-02-06
3005591,m,1.74,1.11,29207.00,1957-05-21,1981-03-26
2616073,m,1.70,1.20,56819.00,1951-07-01,1972-10-10
5188791,f,1.65,1.59,74336.00,1955-10-20,1973-07-09
7135987,f,1.67,1.32,46765.00,1972-10-22,1991-10-22
0331819,f,1.56,1.61,45226.00,1950-09-10,1971-02-26
9055753,f,1.60,1.27,67049.00,1968-01-26,1987-11-07
7008865,m,1.79,0.81,79344.00,1959-01-09,1999-01-27
2153840,f,1.76,1.27,53311.00,1945-06-01,1972-06-07
9596914,f,1.69,1.00,66192.00,1965-12-28,1990-07-28
8342235,f,1.74,1.44,109268.00,1958-08-11,1986-03-06
5842345,f,1.68,1.00,88501.00,1966-07-18,2003-12-07
8561189,f,1.66,1.96,94044.00,1962-08-22,1989-06-19
0042510,f,1.58,1.83,58724.00,1958-12-31,1983-04-07
7036777,f,1.54,1.14,58398.00,1965-11-15,1990-06-21
6631767,f,1.63,1.20,80629.00,1983-02-18,2014-09-26
7388503,f,1.50,0.98,74428.00,1966-08-09,1990-12-20
7298863,f,1.60,1.15,73838.00,1945-11-24,1972-02-03
8266129,m,1.80,1.56,109415.00,1973-08-04,2000-11-07
8885909,m,1.90,1.55,85555.00,1952-11-29,1984-12-07
0548158,f,1.72,1.49,69097.00,1977-09-17,1996-07-01
5355122,f,1.51,1.15,99025.00,1959-01-07,1989-08-13
4208658,f,1.66,1.27,37077.00,1951-07-30,1971-05-25
1481223,m,1.87,1.46,71640.00,1952-07-29,1974-08-10
5265625,m,1.77,1.22,65973.00,1984-06-16,2001-11-13
3798519,m,1.81,0.92,65903.00,1966-06-16,1995-06-24
3232549,f,1.67,1.23,71818.00,1976-05-04,1996-03-03
2540502,m,1.75,1.30,83490.00,1983-12-27,2018-08-07
9093758,m,1.76,1.28,72699.00,1978-01-12,1994-09-23
4879236,f,1.59,1.39,64454.00,1957-05-31,1979-02-12
2884053,f,1.59,1.24,53234.00,1982-11-30,2002-10-11
5109152,m,1.88,1.31,106186.00,1982-06-19,2016-05-05
1269577,m,1.89,1.82,61554.00,1965-07-22,1982-07-22
5239049,m,1.79,1.36,30185.00,1979-08-13,1999-09-22
1720535,m,1.93,1.45,81395.00,1960-12-26,1994-09-02
8704865,m,1.79,1.32,42666.00,1979-11-03,2000-06-07
5197493,m,1.74,1.42,54167.00,1980-07-24,1996-01-09
0322841,m,1.86,1.39,91733.00,1965-10-28,2000-01-17
3251521,m,1.79,1.44,62365.00,1953-10-07,1974-12-24
7476768,f,1.63,0.90,63558.00,1978-02-01,2003-04-18
0490397,f,1.77,1.09,50786.00,1961-09-22,1985-10-07
8015311,f,1.56,1.02,92499.00,1966-04-27,2001-05-11
2885026,f,1.75,1.32,47794.00,1949-08-03,1974-05-11
8654893,m,1.84,1.44,98918.00,1974-03-15,2006-04-07
1710688,f,1.61,0.92,30011.00,1971-01-04,1998-03-01
9853742,m,1.63,0.87,74469.00,1945-12-13,1975-10-15
8228727,m,1.85,1.09,90476.00,1963-04-09,1999-07-04
0519781,m,1.82,1.51,61486.00,1973-11-13,1991-06-01
4830597,male,1.77,1.22,53209.00,1945-08-01,1970-10-25
2477021,f,1.61,1.17,48699.00,1948-12-18,1971-04-21
6642871,f,1.65,1.06,86200.00,1969-08-16,2005-02-07
4770870,f,1.80,1.27,47537.00,1947-08-14,1973-02-06
1779582,f,1.69,1.11,61087.00,1972-12-01,1999-04-18
0297389,f,1.61,0.92,76088.00,1949-07-26,1984-02-19
1251248,m,1.68,1.17,25512.00,1971-09-22,1995-05-04
0776206,f,1.58,0.98,78316.00,1948-08-06,1982-11-08
6612448,m,1.79,1.12,60534.00,1982-02-12,2005-12-26
9467123,f,1.70,1.27,63862.00,1981-09-02,2006-07-30
4758903,m,1.78,1.08,85445.00,1971-08-26,2009-11-01
2526303,m,1.69,1.49,106321.00,1963-12-31,1994-10-27
0243195,m,1.74,0.94,64216.00,1970-11-19,1994-03-25
0303874,f,1.70,1.46,62396.00,1964-01-20,1987-05-19
3103576,f,1.54,0.67,71073.00,1969-11-25,2005-06-21
3705898,m,1.85,1.24,48002.00,1946-06-02,1968-05-09
9247228,f,1.60,0.98,45535.00,1954-09-29,1976-09-26
2586157,m,2.05,1.13,60070.00,1961-09-06,1991-04-24
8259714,m,1.91,1.22,50005.00,1961-09-16,1987-01-21
6525520,f,1.61,1.08,,1979-10-03,2014-06-12
8619717,f,1.69,1.44,74924.00,1978-05-02,1999-01-17
8126008,m,1.76,1.30,61875.00,1976-11-15,2005-05-13
0771565,m,1.78,1.34,62719.00,1947-04-06,1965-06-17
7105335,m,1.87,1.42,76769.00,1977-08-20,2006-02-03
4396746,m,1.63,1.19,74893.00,1954-08-17,1978-12-15
0612238,f,1.63,1.33,83626.00,1969-09-08,2001-08-09
5599117,f,1.62,1.17,90162.00,1967-04-26,2001-11-25
1496182,m,1.82,1.49,105883.00,1983-04-21,2014-05-08
8045209,m,1.90,0.92,69980.00,1955-12-02,1983-01-17
9688244,f,1.75,1.51,59435.00,1984-03-20,2004-10-03
5520551,m,1.67,0.95,60290.00,1980-04-27,2007-11-05
0614209,m,1.79,1.22,87743.00,1954-07-30,1987-07-04
9263188,f,1.66,1.04,50159.00,1982-10-14,2005-03-31
7474860,f,1.56,1.16,53777.00,1973-10-13,1996-09-30
1935823,f,1.68,0.98,69488.00,1949-10-02,1973-04-07
9929582,m,1.79,1.29,80054.00,1964-01-24,1994-11-14
5977735,m,1.66,0.99,72741.00,1950-06-24,1978-10-13
2231052,m,1.84,1.34,62475.00,1956-06-04,1978-06-21
5389048,f,1.59,1.05,41869.00,1952-04-02,1976-09-24
3989974,f,1.76,1.18,48940.00,1948-12-24,1974-01-24
2000800,f,1.52,1.16,55847.00,1968-02-08,1989-07-20
5990084,f,1.59,1.11,70473.00,1959-02-20,1983-06-08
0322803,f,1.53,1.13,62186.00,1948-10-20,1970-11-13
4177277,f,1.78,1.54,59150.00,1960-11-23,1982-07-31
3826990,m,1.77,1.66,80565.00,1979-03-07,2009-03-17
0253210,f,1.63,1.17,56222.00,1963-01-17,1984-07-14
5545155,f,1.56,1.13,65329.00,1965-01-18,1991-08-03
5488623,f,1.57,1.23,47761.00,1958-12-19,1982-09-02
2615432,m,1.79,1.41,43178.00,1976-02-25,1997-03-16
7364216,f,1.47,1.06,33124.00,1964-01-21,1988-02-29
0504107,m,1.81,1.23,96204.00,1976-08-01,2004-11-18
2166828,f,1.61,1.08,14710.00,1953-02-23,1972-11-03
7409750,f,1.69,0.83,53997.00,1976-04-12,2007-01-22
5702396,f,1.69,1.29,43582.00,1983-09-03,2008-09-12
5148737,f,1.55,1.11,51216.00,1967-02-15,1981-06-16
7707636,m,1.90,1.53,53900.00,1976-07-19,1997-06-18
4920826,m,1.74,1.50,102596.00,1973-06-13,2003-11-06
9132732,f,1.77,1.55,67059.00,1982-06-06,2005-07-27
9043049,f,1.65,1.28,58271.00,1963-09-27,1985-10-05
7828689,f,1.56,1.02,55689.00,1968-02-06,1993-06-18
6634463,f,1.52,0.78,44904.00,1948-08-08,1975-02-14
